house_name,z_estimate,estimated_range_min,estimated_range_max,user_id,city_id,neighborhood_id,prices
'425 Wilfrid Stream',528389,512927,543851,43,16,31,'892749 896121 899522 903072 906697 913382 917226 920605 920689 924058 930565 934330 937498 938648 944905 945121 948764 951984 958474 959249 962510 969347 972779 973348 979466 980663 983596 987097 991160 996919 1001266 1000885 1008137 1010893 1014855 1018783 1021789 1022361 1028899 1032695 1036046 1036446 1040323 1046809 1049797 1053339 1056710 1060144 1060702 1064074 1071193 1071505 1074949 1078676 1085163 1085541 1088549 1095041 1095740 1099415 1106108 1106514 1113251 1116770 1119508 1123012 1126978 1127759 1134172 1137017 1137567 1144601 1147958 1147921 1151815 1155821 1158505 1161929 1168442 1168958 1175402 1176549 1183080 1183725 1187015 1193716 1197268 1200347 1204203 1207860 1207532 1214628 1218221 1218824 1222162 1228582 1229366 1235831 1235949 1238887 1246032 1249475 1252811 1253093 1260162 1260120 1266668 1270832 1270879 1274148 1277893 1284075 1287608 1291537 1292248 1295674 1298835 1302210 1305531 1312510 '
'5234 Beier Junctions',570186,550723,589649,67,11,41,'843059 846022 852872 853128 860123 863367 863496 870083 873352 873759 877814 883720 887937 891125 891625 898636 898736 902359 905933 912447 915983 918888 922493 925744 926210 930627 933897 936983 943667 947652 947816 951167 957576 957814 964812 965334 971238 975351 975193 979316 985990 985978 990033 992695 996904 1000350 1006569 1007232 1013597 1016930 1017251 1024351 1025036 1031667 1031247 1034951 1042075 1044867 1049010 1049421 1053036 1059630 1062831 1062925 1069525 1073374 1076814 1080382 1083772 1083963 1090991 1090884 1094594 1098290 1101991 1105027 1108325 1115158 1115266 1119362 1125912 1126210 1130156 1136269 1136379 1143329 1143895 1146709 1153255 1157174 1160519 1160742 1168154 1171458 1174507 1175372 1181201 1182563 1188793 1191729 1192878 1195769 1199443 1205915 1209287 1213163 1216534 1219995 1220872 1227363 1230790 1234059 1237455 1238076 1244789 1247992 1251829 1255361 1259107 1259603 '
'888 Cordelia Neck',572594,561065,584123,9,3,28,'713469 717371 720445 720752 724736 731602 734981 735498 741859 744996 748537 748725 752710 759479 762577 766256 769469 773121 773906 780707 784122 787673 790561 794625 797875 800994 804930 805230 808300 814767 815550 818863 826195 829179 832808 835881 836389 843148 843957 849957 851180 854483 861203 860859 867341 871464 874914 877870 878467 881923 889169 889580 895225 898978 899330 903334 906694 910032 916601 920597 923255 927467 930458 931705 937730 938642 942037 945420 948297 954992 958273 959524 965361 969086 972434 973587 980077 983346 986839 990483 993242 994695 998038 1001478 1007421 1010901 1014626 1015096 1018225 1024987 1025268 1028872 1035394 1039348 1039571 1046582 1046532 1053607 1056374 1057314 1060307 1067210 1070463 1071621 1077250 1078498 1081479 1085720 1091426 1095518 1098569 1102550 1103208 1106578 1109584 1113234 1119603 1119738 1123326 1127621 '
'62142 Emelia Village',890719,873725,907713,25,8,8,'780985 784324 784473 788089 795228 798564 801657 804968 806249 808865 812439 816563 822640 826516 829713 830661 833501 837217 843633 847495 850756 854010 857967 858544 864952 865017 872185 872095 875757 879697 883288 889620 889516 896352 897194 903120 903553 907069 913513 917273 917450 924773 924429 928109 931619 935693 938410 942064 945596 949647 952592 958898 963054 963348 969663 973696 976359 977646 980774 984332 991241 993942 995177 998089 1004794 1008154 1009147 1012191 1015765 1022632 1026255 1026660 1033202 1036262 1037096 1043439 1043750 1047735 1050960 1054352 1060766 1061211 1067449 1071151 1074648 1078217 1082104 1084846 1088751 1092556 1095824 1098886 1102346 1103475 1107301 1109893 1116884 1120599 1121202 1126969 1127706 1131558 1134995 1138170 1144839 1148599 1148371 1152367 1158553 1162764 1163032 1166450 1172513 1176843 1179697 1180305 1184204 1190526 1194105 1194456 '
'859 Howe Villages',636131,617070,655192,54,2,29,'554694 557850 565054 568574 568491 575068 579204 579123 583158 589412 589357 596309 596671 599828 603983 610039 610247 613945 620910 621080 624460 627734 634924 634720 641306 642127 645900 649295 652817 656172 662538 665809 670055 670121 677162 679787 680685 683950 687280 693966 697246 698584 701365 708019 708531 712027 718518 721862 722898 726024 732665 736489 739322 740683 746891 750071 750661 753946 760277 761599 767984 768478 771926 778304 781358 781912 788986 789226 795802 798925 799624 806524 809520 810444 816675 817389 820327 823839 831138 833912 838172 838144 841266 844970 848644 851889 855615 861864 862755 869263 872514 876475 879767 882880 886638 887702 890239 896784 898053 904214 907869 908185 911563 914880 921903 925650 928988 929095 935307 938872 939603 943283 950089 953624 954112 960289 960391 966819 967556 973974 '
'680 Kovacek Roads',584423,571060,597786,20,11,6,'868477 869549 875341 878627 882871 885693 889624 892889 896491 900458 900834 907367 907525 913853 917573 920947 921072 927777 931255 935415 938922 938722 945636 945822 953002 953093 957065 959717 966284 966599 973523 974474 980071 984512 987660 990675 991589 998069 998707 1004843 1005669 1009539 1012578 1018682 1022400 1023034 1029642 1033123 1033424 1036582 1040539 1046869 1051055 1051232 1054266 1060793 1065027 1064947 1071594 1074861 1078466 1079307 1082281 1089185 1089826 1096300 1099189 1100054 1106682 1109974 1110512 1117222 1117874 1121417 1127888 1128253 1131158 1134633 1138800 1145016 1145960 1149525 1155958 1159432 1160064 1162881 1169761 1173075 1173930 1177456 1180799 1183632 1190902 1190970 1197746 1197694 1201450 1207804 1212044 1215445 1218078 1222388 1225777 1226529 1229200 1235803 1239572 1243105 1246327 1249736 1253763 1256733 1258070 1264038 1267668 1271191 1274428 1275552 1278237 1285194 '
'0950 Faye Tunnel',698474,681028,715920,4,12,27,'756098 760493 763189 763959 770221 771039 774740 777597 784730 785504 791482 792364 798844 801616 805714 808620 809391 816117 819771 822860 826704 827462 831017 834315 840141 844441 844541 847880 854502 857688 862052 865133 868238 871681 875827 876166 879612 883208 886769 893017 893314 900177 900996 907056 907489 911097 917239 917612 924555 928264 928187 934619 938353 938836 945500 945858 952136 953131 956712 962827 966813 966795 970748 974466 977208 980785 987736 991544 994996 995228 998842 1005282 1008467 1009555 1015463 1016262 1022263 1023207 1027015 1029561 1036424 1039740 1043332 1044338 1047375 1051231 1054291 1058025 1064392 1067602 1068545 1071612 1075631 1081621 1085227 1088865 1092954 1095888 1096556 1102946 1103549 1109797 1113492 1114360 1121026 1121167 1127068 1130785 1134973 1134711 1141904 1142558 1145731 1148788 1152060 1156442 1162479 1165817 1169697 1169729 '
'90297 Cummings Haven',969594,955067,984121,80,9,11,'795078 801939 801935 808336 809317 816192 815984 819783 823284 829711 830425 837105 837515 840551 844060 848028 851449 854997 861479 865125 868031 868508 872035 875661 878958 882415 886094 892483 893808 899507 900599 903410 909861 910356 914407 921111 924156 924971 927837 932072 934831 938503 941872 945979 948874 955933 956010 962498 963543 966476 973123 976966 980061 983485 986869 991167 990993 997954 997908 1001887 1008261 1008957 1012722 1015772 1018939 1026238 1026201 1033275 1036668 1036808 1040064 1043494 1050278 1050362 1057493 1060662 1061118 1064562 1071478 1072274 1078514 1081938 1085245 1086245 1092785 1096247 1096043 1102941 1103818 1110184 1110003 1113909 1119896 1120442 1124339 1130393 1134136 1138221 1141657 1144834 1148104 1152050 1155114 1158661 1159267 1165522 1166790 1169617 1173413 1177208 1183817 1184178 1190094 1193936 1194602 1200398 1201486 1205297 1208318 1215241 '
'4116 Hallie Wells',819897,807260,832534,63,8,33,'923949 927736 934199 935187 938496 945082 947837 951789 955556 956194 962035 965362 966110 972773 973230 976655 979877 986813 990258 993546 994566 997557 1001440 1004543 1008230 1012140 1014937 1021959 1022129 1026282 1032345 1035366 1036513 1043136 1043225 1050071 1052931 1054078 1060079 1064114 1067705 1070829 1074265 1077458 1081277 1084943 1087886 1088476 1095538 1095419 1102377 1105695 1106768 1110175 1113102 1117186 1123308 1126440 1130205 1133395 1134388 1137413 1144471 1147818 1147824 1154624 1157927 1158335 1165728 1168315 1168852 1175589 1179548 1183199 1183017 1186617 1192875 1194256 1197361 1204246 1204268 1210606 1213835 1214406 1218372 1221422 1227965 1232086 1232706 1239133 1239281 1246153 1249178 1249795 1256730 1257290 1260428 1266468 1270015 1273558 1277313 1281115 1284160 1287610 1288201 1291334 1298477 1298937 1302781 1308986 1312038 1312874 1319374 1319324 1326505 1326580 1330220 1333741 1337053 1343846 '
'589 Treutel Drive',704877,692669,717085,52,13,43,'882975 884177 889780 890766 897572 897850 900833 908136 911714 911642 915688 921497 922116 925476 931918 933242 935999 943173 942779 949610 950046 956318 957148 963985 964720 970496 974304 977669 978112 982048 985430 991433 992141 995454 1002077 1002537 1009675 1010051 1016019 1019535 1022837 1026646 1027623 1030766 1037507 1040671 1044284 1048117 1048466 1054627 1058018 1058936 1062013 1069154 1072295 1072447 1079368 1079964 1086268 1090006 1093500 1096284 1097694 1100895 1104591 1108119 1110881 1114518 1120867 1124315 1125675 1131677 1135032 1135877 1141865 1143196 1148987 1149440 1156283 1156429 1163401 1167093 1170694 1170799 1173915 1178182 1184271 1188255 1187833 1195166 1195428 1198816 1204971 1208542 1211940 1213192 1219571 1219668 1223585 1229705 1229875 1237054 1240238 1240921 1247224 1250754 1251524 1257454 1258120 1262248 1265718 1268760 1275748 1275639 1279760 1285696 1286568 1293046 1295883 1297201 '
'6685 Robel Landing',934811,917412,952210,16,5,43,'822278 822559 829893 833354 833913 837375 843056 847329 847761 851036 857896 858210 864321 867695 871729 875405 878535 878927 882279 886474 889994 895856 899476 900495 903731 907470 910862 913587 920665 923845 927082 930967 934580 935021 938129 941859 945122 952055 955882 956348 962504 966380 966332 970367 976896 980244 983299 983585 987507 993918 997361 1000557 1004263 1005147 1011109 1014591 1018329 1018623 1025532 1028757 1029821 1033379 1039994 1039666 1046525 1046624 1050832 1056985 1060983 1064386 1067064 1067989 1075000 1077767 1081870 1081596 1085644 1092448 1092962 1096139 1102725 1102969 1106219 1110344 1116195 1120407 1123071 1127462 1130192 1134298 1134993 1138280 1144683 1148144 1148620 1152171 1155897 1159254 1165165 1168681 1169366 1173476 1176987 1180245 1183568 1186574 1190688 1194031 1200998 1204183 1207524 1207535 1211939 1214898 1221186 1224889 1228451 1231574 1235942 1239239 '
'84706 Kamryn Extensions',650283,639723,660843,78,19,11,'790535 791065 794383 801238 804857 808175 808678 814872 815892 821819 825874 826318 832839 832573 839961 842796 846804 847168 853932 857077 860068 861059 864269 867717 874476 874607 878874 884631 888246 892124 892449 898549 902219 906425 909753 910076 916435 920310 923549 927472 927956 931494 937999 938166 944706 944741 951960 954828 955088 958900 962586 966451 972434 973380 979612 982751 983955 990063 993127 993709 1000736 1003705 1007398 1011253 1011562 1017933 1021208 1025347 1025063 1029514 1035172 1035609 1042921 1046218 1046155 1050299 1053995 1056739 1063296 1063929 1067882 1070974 1077159 1081117 1081349 1088519 1091520 1094756 1095115 1098863 1106017 1108601 1112803 1115785 1116588 1123318 1123049 1129977 1133754 1136670 1137951 1140590 1147485 1150653 1154104 1157884 1161582 1162206 1168801 1172160 1172232 1178537 1179390 1185717 1189491 1192578 1193818 1199968 1203428 1206672 '
'689 Arnold Corner',750568,733979,767157,52,8,27,'765437 768788 772636 776143 781738 782367 789564 792731 793164 796892 800249 806699 810522 813377 813992 818092 821063 825152 827735 834434 837954 842117 842670 845292 849181 852481 855684 859972 865697 866522 873213 873904 880591 884050 887404 890918 890879 894781 897857 901218 904918 911851 911985 915815 921903 925777 928718 930105 936488 939908 943109 943183 949912 953207 957054 960493 961325 964642 971165 971838 978024 978623 984786 988249 992437 992673 996225 1002586 1006635 1006318 1013035 1013649 1019921 1024000 1027259 1030367 1034395 1038019 1037791 1041787 1045181 1051582 1055667 1055734 1062423 1065660 1066564 1072250 1076436 1079453 1082680 1083569 1089770 1093234 1096711 1101077 1104400 1104927 1110811 1111420 1115182 1121752 1121691 1128777 1129220 1132408 1136474 1140092 1143347 1146294 1150588 1156230 1157329 1160960 1166760 1171164 1171458 1175153 1181464 1181650 '
'1697 MacGyver Glen',830210,814574,845846,53,9,29,'906860 910027 914223 917122 917952 924358 924940 931517 932303 935575 938826 942610 949454 949031 953026 956960 960166 966723 967015 973106 977386 980127 980677 984287 991170 994751 998236 1001076 1001606 1008565 1011469 1012908 1019372 1019028 1022533 1029047 1033218 1033492 1039712 1040872 1046986 1047595 1050804 1057243 1057867 1064182 1068413 1068477 1071959 1078933 1081727 1085158 1088740 1089505 1095944 1099559 1102531 1106251 1110426 1110772 1116680 1120601 1120539 1127219 1131463 1134250 1135343 1141398 1141762 1148522 1149351 1152783 1155892 1159600 1162472 1169868 1173192 1176384 1179772 1180186 1186682 1190532 1194386 1197525 1201466 1204330 1207585 1208791 1212224 1218814 1219053 1225886 1225906 1232286 1233008 1239187 1243347 1246859 1249659 1253210 1257308 1257360 1261030 1264131 1268068 1271937 1278206 1278452 1284894 1285876 1291474 1292283 1296128 1302796 1306449 1309563 1309829 1312975 1316964 1323184 '
'19618 Padberg Common',678287,658432,698142,10,5,21,'979554 983623 990216 990273 997071 1000024 1004241 1007746 1007932 1014473 1017658 1018240 1021588 1028129 1028779 1032373 1038851 1042172 1042653 1049158 1050302 1056029 1057126 1063378 1067339 1067553 1070957 1077714 1078162 1081028 1088014 1088718 1092244 1095781 1102093 1105381 1105551 1109736 1116459 1116700 1123235 1126190 1129579 1133581 1134257 1140045 1143650 1144210 1147686 1154304 1157931 1161802 1165422 1165962 1171482 1175933 1175474 1179659 1183270 1189688 1192898 1193446 1196594 1200452 1203610 1207143 1210954 1214186 1220485 1221430 1228380 1228556 1232365 1238266 1239219 1245764 1245845 1249260 1255529 1259861 1262593 1266690 1266471 1273160 1276948 1280194 1283931 1284051 1287496 1294236 1297830 1301755 1301571 1308633 1308714 1315165 1318931 1322263 1326445 1329116 1329900 1336297 1336675 1340480 1343714 1347153 1351418 1357635 1357971 1361291 1365391 1368209 1374934 1378500 1381590 1385014 1389437 1389821 1396058 1396145 '
'8082 Heidenreich Burg',548107,533374,562840,62,18,18,'721765 727805 731517 735497 735513 742019 745478 749470 749753 756350 759666 760469 763365 770243 770354 774455 777741 781232 784354 791501 794463 795380 801097 802409 805479 808566 815943 818595 819739 822702 826474 829980 833962 836721 841012 843814 850442 851378 857794 861200 861928 868315 869009 874687 875387 879094 885489 889018 892186 893395 899864 900484 906739 906961 913219 916853 920176 920607 924252 931205 931970 937916 938752 944592 948027 951840 955275 958896 962982 962681 969143 970238 976189 979561 980170 986756 987271 994039 997759 1001508 1001608 1007790 1011396 1014816 1015615 1021568 1022803 1025915 1032336 1036379 1039880 1040178 1043036 1047167 1053916 1053945 1060153 1060930 1067299 1067744 1074612 1077525 1081160 1082013 1088546 1092426 1092542 1096420 1099780 1103178 1109243 1109544 1116391 1120167 1120121 1127067 1127182 1130962 1134156 1138481 '
'475 Schaden Ville',945098,930887,959309,96,17,46,'862301 865507 869116 872891 873779 879662 880110 883674 886991 893503 893877 900808 904168 904505 908004 914668 915665 918703 925314 928660 932592 932541 939562 943205 943075 950083 953012 954241 957685 963927 967713 970535 970901 978204 981599 984422 988522 988830 992506 995864 998898 1005463 1006086 1009822 1013150 1016471 1022842 1026393 1027649 1030894 1037289 1040637 1044060 1047499 1047821 1052292 1055290 1061609 1062588 1066213 1072575 1072895 1075915 1080137 1085944 1089913 1090307 1093938 1100042 1103560 1106949 1108109 1114220 1117358 1121801 1121940 1125030 1131453 1135240 1138366 1139018 1145317 1149310 1149770 1156443 1159838 1159879 1166721 1170039 1173502 1177053 1177369 1181154 1184561 1191521 1191733 1195524 1201865 1202353 1205691 1212563 1215857 1216424 1219511 1226560 1227007 1230219 1237197 1240551 1243817 1247754 1250556 1254327 1254704 1261709 1264678 1267837 1271754 1275566 1278369 '
'90218 Swift Shores',721537,711089,731985,21,19,3,'557046 557620 563774 568179 571753 571643 575007 581874 582060 588560 589614 596165 596699 600193 603748 609571 612883 614086 616849 624189 624228 630613 631424 635033 638589 645208 647815 648448 652105 658711 659478 662915 669467 669411 676676 676702 680401 687192 687075 691253 694410 697324 700778 707557 711487 714396 718515 722237 725753 726086 729532 732663 738822 739783 743727 747069 753709 756753 760677 763520 764607 767305 774174 778175 778055 781764 788685 792116 792101 795545 801910 802765 809136 812370 813049 819687 823677 823963 827279 830300 834469 840882 844342 847358 848406 852136 855174 859251 865541 868419 869099 872946 876039 883040 883142 886866 889769 893674 900166 900719 907239 908066 914234 918030 918192 924470 925459 929240 935710 935495 939075 945947 945867 952309 952994 959475 960104 966402 970534 970593 '
'910 Ivy Dam',518819,503043,534595,57,9,18,'641625 641767 645390 652435 655308 655668 659654 666556 666986 670607 673293 676712 683621 687006 690439 691098 697529 701458 701198 705475 711298 714780 718966 719273 722630 729507 729696 733036 736510 740264 746611 750011 753787 757114 757627 761120 764485 768470 771813 775064 778833 784989 788258 791961 792233 795732 802989 806153 809471 810617 816204 820088 820200 824609 827804 831581 834479 841387 841968 847921 851288 854703 858821 859412 862585 869296 872543 872758 880125 883260 886276 890461 894099 897245 897599 904469 905098 910952 911371 917742 921988 924798 929119 929512 935623 936543 942322 942703 946750 953383 953422 960514 960343 963758 970734 973736 977277 981289 984635 984893 991364 991756 995267 999083 1003063 1008716 1012874 1013168 1020012 1023428 1024074 1030572 1033634 1036960 1038091 1044282 1047760 1051092 1051736 1057710 '
'20046 Torrance Gardens',660285,642011,678559,42,9,47,'802401 806237 806603 812960 816256 820301 823642 824182 830581 831198 837149 840926 844995 845353 851783 852163 855637 862152 865427 866510 870081 872679 879839 883383 883099 889975 890536 894402 900288 901205 907267 908057 914425 915453 921853 922497 928404 932207 932571 936498 939128 943109 946523 950044 956854 960147 963344 964375 968068 970614 974854 977773 981673 988186 989031 992346 995673 998690 1002994 1009341 1009447 1016230 1016883 1022706 1023765 1027239 1033775 1034054 1040251 1043621 1044430 1047786 1054228 1058019 1058659 1062246 1065752 1068860 1072490 1078721 1079253 1082695 1089846 1090185 1093381 1100157 1103268 1106622 1110659 1114266 1117855 1121011 1121264 1124793 1131845 1132472 1138215 1141710 1145568 1146512 1150017 1153318 1156294 1163347 1166503 1169899 1174007 1174145 1180356 1180758 1188025 1191444 1191402 1198553 1201219 1204918 1208254 1212175 1215214 1216566 '
'595 Roger Junctions',545569,533568,557570,44,8,42,'833403 837072 843917 843848 850679 851065 854012 858332 864650 864684 871495 875187 875021 881636 885481 889264 889260 895644 896722 900279 906084 910474 913941 916928 917839 921440 927748 928213 934867 938359 941241 942116 945621 948793 955232 955760 962600 965994 966894 972861 976069 977360 980244 983877 987189 991447 997464 998041 1001968 1008210 1011460 1012403 1018167 1021880 1025168 1029016 1029560 1032577 1039706 1039791 1043249 1050346 1050433 1057426 1057766 1061274 1064255 1070939 1071627 1075290 1078875 1082421 1085570 1088746 1092281 1099122 1102411 1102899 1109730 1109725 1113832 1116768 1120028 1126637 1127025 1133504 1137527 1137887 1141023 1144602 1148801 1154574 1158606 1159178 1162588 1169252 1172730 1176063 1179010 1182878 1186126 1189845 1193811 1193780 1197319 1203534 1207155 1210995 1214202 1214667 1221126 1225283 1224999 1228861 1232232 1239281 1242746 1242626 1249563 1249684 '
